days,optimals,snp,dqnBiggerNet_percent,dqnBiggerNet_weight,dqnBiggerNet_stock,dqnFastBigNet_percent,dqnFastBigNet_weight,dqnFastBigNet_stock,dqnVeryLarge_percent,dqnVeryLarge_weight,dqnVeryLarge_stock
12/30/2010 0:00,0.032967001,0.032967001,-0.00168256,2,DUK,0.032967001,10,BLDR,0.003472902,6,NTAP
12/31/2010 0:00,0.047872358,0.047872358,-0.006174484,9,FE,-0.000511423,10,NRG,-0.019430003,1,BSX
1/3/2011 0:00,0.063936001,0.063936001,0.007086928,1,TRGP,0.026690643,1,FRT,0.036774174,10,PODD
1/4/2011 0:00,0.07990907,0.07990907,0.003027276,10,ED,0,6,IQV,-0.002397447,9,CPRT
1/5/2011 0:00,0.076727904,0.076727904,0.028528538,10,DXCM,0,6,IQV,0.011011443,1,IRM
1/6/2011 0:00,0.138398142,0.138398142,0,8,ABBV,0,7,KVUE,0,9,CTAS
1/7/2011 0:00,0.074244421,0.074244421,0.002450249,8,ODFL,0,5,PANW,-0.007596629,7,ACGL
1/10/2011 0:00,0.048280456,0.048280456,0.040770063,10,AMD,0.025510179,10,BLDR,-0.006666713,10,AEP
1/11/2011 0:00,0.070899547,0.070899547,0.033320281,8,EXPE,0.019900479,10,BLDR,0.022877329,10,PXD
1/12/2011 0:00,0.14968001,0.14968001,0,2,VLTO,0.009756088,10,BLDR,0,9,ENPH
1/13/2011 0:00,0.060449002,0.060449002,0.03601183,9,VRTX,-0.002509408,6,SWKS,0.001697535,10,XOM
1/14/2011 0:00,0.075842692,0.075842692,0.001528317,9,FFIV,0.022327016,6,SWKS,0.002738866,5,AZO
1/18/2011 0:00,0.053248134,0.053248134,0,10,ENPH,0,7,KVUE,0,6,QRVO
1/19/2011 0:00,0.033455054,0.033455054,-0.023290922,1,ODFL,0,7,KVUE,0,9,MRNA
1/20/2011 0:00,0.05773193,0.05773193,0.014349378,1,PARA,0,7,KVUE,-0.058032533,4,STX
1/21/2011 0:00,0.126798423,0.126798423,0,6,WRK,0,7,KVUE,0.027261139,10,CPRT
1/24/2011 0:00,0.11296131,0.11296131,0.009113711,8,ODFL,0.005541452,9,BIIB,0.0629342,9,TSLA
1/25/2011 0:00,0.079938887,0.079938887,-0.012880522,8,PODD,0,10,ENPH,0.011939589,2,BKNG
1/26/2011 0:00,0.168926875,0.168926875,0.070568732,7,UAL,0.052631634,10,BLDR,0.168926875,6,FTNT
1/27/2011 0:00,0.152106268,0.152106268,0.152106268,6,NFLX,0,7,KVUE,0.020900289,10,GD
1/28/2011 0:00,0.044889104,0.044889104,0,10,FANG,-0.043358781,6,SWKS,0,4,HWM
1/31/2011 0:00,0.048071029,0.048071029,0.048071029,9,FSLR,0,10,ENPH,0.004259893,9,MTCH
2/1/2011 0:00,0.08108111,0.08108111,0.049808473,10,AMD,0.029902447,6,SWKS,-0.005511787,1,UAL
